MaNV,TenNV,ChucVu,BoPhan,CCCD,SDT_NV,Email_NV,NgaySinh,GioiTinh
NV000070,Le Duc Anh,Ky thuat,Ky thuat may bay,122155987648,033804307000,nv70@airline.vn,1968-06-24,Khac
NV000071,Pham Duc Dung,Tiep vien,Khai thac bay,419503407817,097754111500,nv71@airline.vn,1970-06-25,Nu
NV000072,Hoang Thi Binh,Ky thuat,Phuc vu mat dat,841831579426,034670309100,nv72@airline.vn,1994-11-06,Nu
NV000073,Pham Van An,Ky thuat,Dieu hanh bay,552293254108,098569405700,nv73@airline.vn,1978-09-19,Nam
NV000074,Pham Duc Dung,Tiep vien,An toan bay,652751150567,096399397100,nv74@airline.vn,1977-06-24,Nam
NV000075,Vo Van Dat,Tiep vien,Khai thac bay,852863512451,097196508200,nv75@airline.vn,1978-04-07,Nam
NV000076,Pham Thi Son,Dieu hanh,Ky thuat may bay,446119051553,097304984700,nv76@airline.vn,1985-12-08,Nam
NV000077,Tran Van Chi,Dieu hanh,Dieu hanh bay,613361169039,097307666300,nv77@airline.vn,1994-01-20,Nam
NV000078,Pham Van Cuong,Tiep vien,Dieu hanh bay,246959960770,086641937900,nv78@airline.vn,1974-01-14,Nam
NV000079,Tran Chi,Tiep vien,Dieu hanh bay,607215484798,096783164000,nv79@airline.vn,1995-12-28,Nam
NV000080,Nguyen Thi Khanh,Phi cong,Khai thac bay,218481355612,034796292500,nv80@airline.vn,1967-09-05,Nam
NV000081,Pham Duc Thu,Ky thuat,Tai chinh,648479515396,034575884300,nv81@airline.vn,1998-02-24,Khac
NV000082,Nguyen Thi Dat,Ky thuat,Ky thuat may bay,970202218403,034324691000,nv82@airline.vn,1963-02-10,Nam
NV000083,Tran Duc Anh,Phi cong,An toan bay,346068312113,033766059000,nv83@airline.vn,1993-08-11,Nam
NV000084,Bui Hung,Tiep vien,Phuc vu mat dat,898069117975,033461692600,nv84@airline.vn,1998-10-17,Nam
NV000085,Tran Manh,Tiep vien,Ky thuat may bay,561011888316,032254727400,nv85@airline.vn,1976-01-23,Nu
NV000086,Le Anh,Phi cong,Ky thuat may bay,124182718711,098666217300,nv86@airline.vn,1975-08-13,Khac
NV000087,Vu Van Binh,Phi cong,Tai chinh,568704568844,098130146600,nv87@airline.vn,1962-04-28,Nam
NV000088,Dang Duc Lan,Ky thuat,Dieu hanh bay,769518999544,032145750600,nv88@airline.vn,1984-03-22,Khac
NV000089,Tran Thi Phu,Phi cong,Phuc vu mat dat,339519995156,034671320200,nv89@airline.vn,1982-01-27,Khac
NV000090,Dang Thi Bao,Ky thuat,An toan bay,633043124110,097914148200,nv90@airline.vn,1987-09-21,Nam
NV000091,Bui Duc Lan,Tiep vien,Tai chinh,147086280795,032506176500,nv91@airline.vn,1979-09-01,Khac
NV000092,Pham Duc Phu,Tiep vien,Dieu hanh bay,833850282758,096986856900,nv92@airline.vn,1968-07-02,Nam
NV000093,Pham Van Son,Phi cong,Khai thac bay,506591779586,086130289800,nv93@airline.vn,1998-01-17,Nu
NV000094,Bui Van Cuong,Tiep vien,Ky thuat may bay,300034182631,032860188900,nv94@airline.vn,1976-10-26,Nam
NV000095,Vu Dat,Dieu hanh,An toan bay,515787494892,098597296200,nv95@airline.vn,1995-11-20,Khac
NV000096,Tran Duc Anh,Tiep vien,An toan bay,502797197529,096744410900,nv96@airline.vn,1996-04-05,Nu
NV000097,Bui Duc Dung,Phi cong,An toan bay,443113505850,096426234600,nv97@airline.vn,1971-04-04,Nam
NV000098,Pham Thi Oanh,Ky thuat,Dieu hanh bay,716602320384,032784206900,nv98@airline.vn,1961-09-16,Nam
NV000099,Vu Dung,Ky thuat,Khai thac bay,588088398370,033462231500,nv99@airline.vn,1979-09-24,Nam
NV000100,Dang Thi Dat,Tiep vien,Tai chinh,764270565486,034509299900,nv100@airline.vn,1993-03-22,Nam
NV000101,Hoang Duc An,Ky thuat,Tai chinh,721460907281,096828379800,nv101@airline.vn,1981-01-18,Nam
NV000102,Vu Duc Cuong,Dieu hanh,Tai chinh,577371064763,097546338600,nv102@airline.vn,1965-09-13,Khac
NV000103,Huynh Van Uyen,Tiep vien,Khai thac bay,630693864526,098814631900,nv103@airline.vn,1966-11-27,Nam
NV000104,Pham Duc Anh,Dieu hanh,Ky thuat may bay,232072055897,034422191100,nv104@airline.vn,1977-07-18,Nam
NV000105,Pham Duc Cuong,Dieu hanh,Ky thuat may bay,284508455901,086475364500,nv105@airline.vn,1960-01-22,Khac
NV000106,Bui Thu,Phi cong,Khai thac bay,941726189780,086945402700,nv106@airline.vn,1972-02-03,Nam
NV000107,Bui Van Phu,Phi cong,Khai thac bay,681432019904,032568498800,nv107@airline.vn,1965-05-21,Nam
NV000108,Huynh Binh,Ky thuat,Phuc vu mat dat,795195855460,096428664800,nv108@airline.vn,1997-08-21,Khac
NV000109,Le Duc Binh,Tiep vien,Tai chinh,397554476250,032930923100,nv109@airline.vn,1988-08-20,Nu
NV000110,Vu Van Khanh,Ky thuat,Phuc vu mat dat,545499868841,098790627500,nv110@airline.vn,1968-10-05,Nu
NV000111,Nguyen Van Bao,Ky thuat,Tai chinh,719166659283,097212061900,nv111@airline.vn,1976-01-13,Nu
NV000112,Tran Thi Lan,Tiep vien,Dieu hanh bay,195486198711,033627140300,nv112@airline.vn,1982-12-06,Nam
NV000113,Huynh Van Thu,Ky thuat,An toan bay,189881497052,086117853200,nv113@airline.vn,1973-03-22,Nam
NV000114,Tran Thi Dat,Phi cong,Dieu hanh bay,341001867909,098807830000,nv114@airline.vn,1975-09-22,Nu
NV000115,Le Viet,Dieu hanh,An toan bay,482150870316,086303447500,nv115@airline.vn,1972-04-15,Nam
NV000116,Dang Duc Oanh,Tiep vien,An toan bay,894780194305,033641942100,nv116@airline.vn,1963-03-28,Khac
NV000117,Hoang Van Anh,Phi cong,Dieu hanh bay,410420444024,032496793700,nv117@airline.vn,1988-04-22,Nu
NV000118,Tran Thu,Dieu hanh,Khai thac bay,258603194893,086938287500,nv118@airline.vn,1992-03-06,Nam
NV000119,Nguyen Van Khanh,Ky thuat,An toan bay,212452517436,097424446800,nv119@airline.vn,1976-09-14,Nam
NV000120,Bui Duc Bao,Ky thuat,Tai chinh,768669625238,086492359500,nv120@airline.vn,1987-04-28,Nam
NV000121,Tran Thi Anh,Dieu hanh,Tai chinh,452169773619,086148917200,nv121@airline.vn,1981-04-19,Khac
NV000122,Nguyen Yen,Ky thuat,Tai chinh,598727285811,086202490200,nv122@airline.vn,1985-08-08,Khac
NV000123,Dang Van Hung,Tiep vien,Khai thac bay,694320896347,033241520000,nv123@airline.vn,1970-03-08,Nu
NV000124,Huynh Van Khanh,Ky thuat,Tai chinh,825305947908,034124884200,nv124@airline.vn,1981-09-15,Nam
NV000125,Hoang Thi Thu,Phi cong,An toan bay,948905876764,033222059700,nv125@airline.vn,1996-03-11,Khac
NV000126,Vo Van Dat,Dieu hanh,An toan bay,948403184407,097550497500,nv126@airline.vn,1975-07-20,Nu
NV000127,Dang Thi An,Tiep vien,Khai thac bay,464431722243,098156893200,nv127@airline.vn,1998-12-24,Nam
NV000128,Dang Duc Uyen,Dieu hanh,Ky thuat may bay,244518651546,034666601700,nv128@airline.vn,1992-09-21,Nam
NV000129,Tran Duc Oanh,Ky thuat,Tai chinh,656394512149,086160061500,nv129@airline.vn,1988-02-12,Nam
NV000130,Pham Bao,Ky thuat,Dieu hanh bay,316799647354,096413333000,nv130@airline.vn,1961-10-15,Nu
NV000131,Vu Van Chi,Ky thuat,Dieu hanh bay,686737337411,086745041000,nv131@airline.vn,1994-03-28,Khac
NV000132,Dang Thi Yen,Tiep vien,Ky thuat may bay,733576897548,033928638700,nv132@airline.vn,1962-11-18,Nu
NV000133,Dang An,Tiep vien,Tai chinh,970268608024,033718543900,nv133@airline.vn,1963-12-09,Nam
NV000134,Huynh Thu,Dieu hanh,Ky thuat may bay,601160889231,096164283200,nv134@airline.vn,1961-11-04,Nam
NV000135,Hoang Thi Bao,Tiep vien,Ky thuat may bay,376030343063,033978429600,nv135@airline.vn,1985-08-19,Khac
NV000136,Pham Duc Hung,Dieu hanh,Ky thuat may bay,800877196955,033323301200,nv136@airline.vn,1994-12-19,Nu
NV000137,Vu Thi Manh,Dieu hanh,An toan bay,215682952616,034779311200,nv137@airline.vn,1970-05-03,Nu
NV000138,Le Duc Bao,Ky thuat,Phuc vu mat dat,526676442216,033388328500,nv138@airline.vn,1985-10-08,Nam
NV000139,Huynh Duc Anh,Phi cong,Phuc vu mat dat,658086244149,032756357000,nv139@airline.vn,1983-06-01,Khac
NV000140,Dang Nam,Dieu hanh,Ky thuat may bay,770082038877,034918339500,nv140@airline.vn,1978-05-08,Nam
NV000141,Pham Van Oanh,Dieu hanh,An toan bay,223834202688,086912435100,nv141@airline.vn,1970-01-07,Nu
NV000142,Bui Duc Manh,Phi cong,Khai thac bay,503033558404,033761912700,nv142@airline.vn,1979-02-11,Nu
NV000143,Vo Duc Dung,Tiep vien,Phuc vu mat dat,336683717228,097391100900,nv143@airline.vn,1983-10-07,Khac
NV000144,Vo Van Anh,Tiep vien,Dieu hanh bay,148607520302,032545861900,nv144@airline.vn,1969-12-28,Nam
NV000145,Hoang Van Chi,Tiep vien,Phuc vu mat dat,522868018705,096987870500,nv145@airline.vn,1967-12-19,Khac
NV000146,Dang Thi Binh,Ky thuat,Khai thac bay,496303856669,033494281200,nv146@airline.vn,1992-09-18,Nu
NV000147,Vu Thi Khanh,Tiep vien,An toan bay,953879835669,086798071600,nv147@airline.vn,1963-06-28,Khac
NV000148,Vo Bao,Tiep vien,Ky thuat may bay,284093433812,033926633300,nv148@airline.vn,1981-09-11,Nu
NV000149,Dang Phu,Tiep vien,Ky thuat may bay,885066797551,098583238500,nv149@airline.vn,1971-09-05,Nu
NV000150,Bui Van Dung,Ky thuat,Ky thuat may bay,246137961971,098110498400,nv150@airline.vn,1962-01-05,Nu
NV000151,Huynh Thi Manh,Phi cong,Phuc vu mat dat,804937826572,098294168600,nv151@airline.vn,1980-06-03,Nam
NV000152,Nguyen Duc Phu,Ky thuat,Khai thac bay,325579357090,097814177200,nv152@airline.vn,1995-12-06,Nam
NV000153,Hoang Duc Oanh,Dieu hanh,An toan bay,523556397139,086923139500,nv153@airline.vn,1969-08-28,Nam
NV000154,Vu Viet,Tiep vien,Tai chinh,264983778992,097110679300,nv154@airline.vn,1968-06-28,Nam
NV000155,Huynh Thi Oanh,Phi cong,An toan bay,985701449767,098390034200,nv155@airline.vn,1994-02-24,Nam
NV000156,Pham Thi Chi,Tiep vien,An toan bay,812282388775,032611486000,nv156@airline.vn,1965-01-13,Nam
NV000157,Tran Thi Anh,Ky thuat,Ky thuat may bay,273901240910,033877097300,nv157@airline.vn,1982-01-18,Nam
NV000158,Vo Van Thu,Ky thuat,Phuc vu mat dat,300948303950,034905439800,nv158@airline.vn,1989-06-09,Nu
NV000159,Dang Nam,Tiep vien,Dieu hanh bay,456622704272,033251387600,nv159@airline.vn,1992-11-24,Khac
NV000160,Vu Thi Bao,Phi cong,Dieu hanh bay,701523469022,098404762300,nv160@airline.vn,1988-02-21,Khac
NV000161,Le Chi,Tiep vien,Phuc vu mat dat,965190660232,097464518400,nv161@airline.vn,1996-11-19,Nam
NV000162,Nguyen Thi Phu,Tiep vien,Phuc vu mat dat,334568819406,097791121000,nv162@airline.vn,1970-02-24,Khac
NV000163,Huynh Van Cuong,Tiep vien,Phuc vu mat dat,703671124184,033496705100,nv163@airline.vn,1970-06-21,Nu
NV000164,Pham Thi Cuong,Tiep vien,An toan bay,439043413239,034801078500,nv164@airline.vn,1967-08-24,Khac
NV000165,Vo Thi Manh,Ky thuat,Ky thuat may bay,727149236126,034537948900,nv165@airline.vn,1976-10-26,Khac
NV000166,Bui Thi Dung,Ky thuat,An toan bay,743646437092,086104509800,nv166@airline.vn,1971-10-06,Khac
NV000167,Tran Van Khanh,Tiep vien,Phuc vu mat dat,613660461127,098984159300,nv167@airline.vn,1991-12-04,Nam
NV000168,Vo Thi Phu,Dieu hanh,An toan bay,368516823788,033350382400,nv168@airline.vn,1961-11-25,Nam
NV000169,Le Son,Phi cong,An toan bay,289787906642,032174600900,nv169@airline.vn,1976-09-16,Khac
NV000170,Dang Anh,Tiep vien,Tai chinh,861113670218,097724436000,nv170@airline.vn,1992-06-06,Nam
NV000171,Dang Van Thu,Phi cong,Phuc vu mat dat,405017139958,034496424300,nv171@airline.vn,1984-11-03,Nu
NV000172,Tran Van Viet,Tiep vien,Phuc vu mat dat,331731070074,098256983100,nv172@airline.vn,1961-03-21,Nam
NV000173,Bui Van Son,Phi cong,Ky thuat may bay,624840019232,034957954900,nv173@airline.vn,1972-01-20,Nam
NV000174,Nguyen Cuong,Ky thuat,Khai thac bay,852523011380,096938634700,nv174@airline.vn,1965-10-04,Nam
NV000175,Vu Thi Binh,Tiep vien,Khai thac bay,272688805018,032872330300,nv175@airline.vn,1986-08-25,Nam
NV000176,Nguyen Van Dung,Phi cong,Khai thac bay,544024808901,032317269100,nv176@airline.vn,1971-01-04,Nam
NV000177,Vo Duc Hung,Dieu hanh,Dieu hanh bay,374587577529,033459182100,nv177@airline.vn,1962-05-19,Nam
NV000178,Vu Duc Thu,Tiep vien,An toan bay,825907064523,033863939200,nv178@airline.vn,1979-09-04,Nam
NV000179,Hoang Van Khanh,Phi cong,Ky thuat may bay,967680930050,096762337100,nv179@airline.vn,1993-03-11,Nam
NV000180,Bui Thi Phu,Tiep vien,An toan bay,513548283230,033128714000,nv180@airline.vn,1997-04-23,Nu
NV000181,Huynh Van Thu,Phi cong,Phuc vu mat dat,833218233883,096679214500,nv181@airline.vn,1968-12-19,Khac
NV000182,Nguyen Thi Dung,Ky thuat,Khai thac bay,401257076470,033811122600,nv182@airline.vn,1982-09-11,Nu
NV000183,Vu Thi Oanh,Tiep vien,Khai thac bay,957888129620,033143026000,nv183@airline.vn,1969-08-02,Khac
NV000184,Tran Thi Son,Ky thuat,Phuc vu mat dat,643560445560,034201181600,nv184@airline.vn,1970-10-20,Nam
NV000185,Vo Chi,Ky thuat,An toan bay,551067689121,033318083000,nv185@airline.vn,1968-05-17,Nam
NV000186,Huynh Duc Phu,Tiep vien,Tai chinh,807087916551,032472180500,nv186@airline.vn,1978-01-08,Nam
NV000187,Tran Duc An,Ky thuat,Dieu hanh bay,803379975751,086718351300,nv187@airline.vn,1987-05-20,Nam
NV000188,Huynh Duc Viet,Tiep vien,Ky thuat may bay,375934887818,086278551500,nv188@airline.vn,1968-05-15,Khac
NV000189,Nguyen Van Dung,Dieu hanh,Khai thac bay,232152522509,098962655900,nv189@airline.vn,1967-01-07,Nam
NV000190,Vu Thi Bao,Phi cong,Dieu hanh bay,402359849362,098250962500,nv190@airline.vn,1991-03-14,Nam
NV000191,Dang Van An,Tiep vien,Dieu hanh bay,259375078697,096151140300,nv191@airline.vn,1966-06-23,Nam
NV000192,Vo Thi Chi,Dieu hanh,Khai thac bay,595676106116,032513563400,nv192@airline.vn,1963-08-23,Nam
NV000193,Huynh Van Chi,Tiep vien,Ky thuat may bay,683986571247,034925494600,nv193@airline.vn,1979-04-26,Khac
NV000194,Le Thi Dung,Phi cong,Khai thac bay,579168589923,033685413300,nv194@airline.vn,1994-09-22,Nu
NV000195,Vo Uyen,Dieu hanh,Ky thuat may bay,132195822794,033302159300,nv195@airline.vn,1995-01-11,Nam
NV000196,Pham Dat,Tiep vien,Dieu hanh bay,383132702026,098833961000,nv196@airline.vn,1985-07-27,Nam
NV000197,Tran Van Son,Dieu hanh,Phuc vu mat dat,253891654806,097896923400,nv197@airline.vn,1961-01-02,Nu
NV000198,Vu Uyen,Phi cong,Ky thuat may bay,464922243969,097141831200,nv198@airline.vn,1964-02-02,Khac
NV000199,Bui Yen,Phi cong,Ky thuat may bay,121635256699,097540727700,nv199@airline.vn,1997-04-18,Nam
NV000200,Bui Van Nam,Tiep vien,Phuc vu mat dat,171759149256,034388770400,nv200@airline.vn,1962-05-20,Nam
NV000201,Bui Oanh,Ky thuat,An toan bay,802196334044,033209250900,nv201@airline.vn,1972-08-19,Khac
NV000202,Tran Uyen,Dieu hanh,An toan bay,421048404914,032789354300,nv202@airline.vn,1984-02-05,Nam
NV000203,Vo Van Oanh,Ky thuat,Dieu hanh bay,394510279356,033491410500,nv203@airline.vn,1971-06-14,Nam
NV000204,Pham Duc Anh,Dieu hanh,An toan bay,228470931359,096848377800,nv204@airline.vn,1960-02-23,Nu
NV000205,Le Thi Uyen,Phi cong,Phuc vu mat dat,157841477693,096872996400,nv205@airline.vn,1994-03-04,Nam
NV000206,Vu Thi Binh,Phi cong,Tai chinh,829299403374,097535354400,nv206@airline.vn,1966-09-26,Nam
NV000207,Pham Son,Tiep vien,Khai thac bay,903255148131,098944983600,nv207@airline.vn,1997-05-22,Nam
NV000208,Tran Bao,Tiep vien,Ky thuat may bay,252622109338,033301734000,nv208@airline.vn,1988-06-17,Nam
NV000209,Bui Duc Viet,Ky thuat,Khai thac bay,291293976862,032143105600,nv209@airline.vn,1976-09-02,Khac
NV000210,Vo Phu,Phi cong,Phuc vu mat dat,309775302783,086242821100,nv210@airline.vn,1979-10-13,Nam
NV000211,Tran Khanh,Dieu hanh,Ky thuat may bay,283787935386,096810472300,nv211@airline.vn,1995-09-05,Khac
NV000212,Vu Cuong,Phi cong,Ky thuat may bay,744430356495,034484764000,nv212@airline.vn,1967-05-26,Nam
NV000213,Bui Van Uyen,Tiep vien,Dieu hanh bay,641354948871,096516262000,nv213@airline.vn,1971-08-10,Nam
NV000214,Huynh Duc Thu,Phi cong,Dieu hanh bay,978668849341,098767998500,nv214@airline.vn,1971-05-21,Nam
NV000215,Bui Duc Uyen,Dieu hanh,Dieu hanh bay,698648564849,033544313300,nv215@airline.vn,1987-01-09,Khac
NV000216,Dang Thi Oanh,Phi cong,Dieu hanh bay,267553611653,096667099900,nv216@airline.vn,1966-07-05,Nam
NV000217,Huynh Thi Cuong,Ky thuat,Ky thuat may bay,699330987825,033100575900,nv217@airline.vn,1992-10-26,Nam
NV000218,Hoang Bao,Dieu hanh,Tai chinh,351263355511,096168934100,nv218@airline.vn,1987-03-09,Khac
NV000219,Vo Hung,Dieu hanh,An toan bay,564149169399,032206384200,nv219@airline.vn,1965-05-03,Nam
NV000220,Tran Thi Cuong,Tiep vien,Tai chinh,802655318460,098373879800,nv220@airline.vn,1973-12-14,Nam
NV000221,Pham Lan,Ky thuat,Khai thac bay,303331177879,033173468800,nv221@airline.vn,1976-06-18,Nam
NV000222,Vu Van Phu,Tiep vien,Ky thuat may bay,925829511268,034931465300,nv222@airline.vn,1969-05-04,Nam
NV000223,Vu Van Phu,Tiep vien,Tai chinh,401889609837,032798587900,nv223@airline.vn,1985-02-16,Khac
NV000224,Tran Thi Anh,Tiep vien,An toan bay,729376949030,098170180600,nv224@airline.vn,1994-09-24,Nam
NV000225,Vu Thi Viet,Phi cong,Ky thuat may bay,585673267416,034794072500,nv225@airline.vn,1993-02-26,Nam
NV000226,Huynh Thi Dat,Ky thuat,Tai chinh,698138734087,086517712000,nv226@airline.vn,1997-07-23,Khac
NV000227,Hoang Anh,Dieu hanh,Ky thuat may bay,202506834467,034670903400,nv227@airline.vn,1997-05-11,Nam
